Name,Salary,FPTS,Tournament,Par
X. Zhang,6400,17.5,Charles Schwab,70
S. Harrington,6100,17.5,Charles Schwab,70
T. Hoge,7200,16.5,Charles Schwab,70
F. Corpening,6000,16,Charles Schwab,70
K. Tway,6700,14,Charles Schwab,70
B. Hossler,6600,13,Charles Schwab,70
D. Frost,6100,12,Charles Schwab,70
L. Griffin,6900,11.5,Charles Schwab,70
O. Browne,6100,9.5,Charles Schwab,70
K. Clearwater,6200,6.5,Charles Schwab,70
